REFRIGERATOR 	 OPERATION.Before_Use.Checklist 	 Clean the refrigerator
empty the ice bin completely and clean the ice bin before reinstalling the ice bin 	 Condition 	 clump happens
clump happens 	 Follows 	 empty the ice bin completely and clean the ice bin before reinstalling the ice bin
Freezer Icemaker ( Cubed Ice ) is only available on some models. 	 talks_about 	 Freezer Icemaker
Freezer Icemaker ( Cubed Ice ) is only available on some models. 	 talks_about 	 some models
Freezer Icemaker ( Cubed Ice ) is only available on some models. 	 talks_about 	 only available
conditions are favorable 	 talks_about 	 conditions
conditions are favorable 	 talks_about 	 favorable
conditions 	 are 	 favorable
favorable 	 are_reverse 	 conditions
Freezer Icemaker Cubed Ice produces 12 cubes at a time, 50-110 pieces within a 24 hour period 	 talks_about 	 12 cubes
Freezer Icemaker Cubed Ice produces 12 cubes at a time, 50-110 pieces within a 24 hour period 	 talks_about 	 Freezer Icemaker Cubed Ice
Freezer Icemaker Cubed Ice produces 12 cubes at a time, 50-110 pieces within a 24 hour period 	 talks_about 	 a time
12 cubes 	 produces_reverse 	 Freezer Icemaker Cubed Ice
Freezer Icemaker Cubed Ice 	 produces 	 12 cubes
a time 	 produces_12_cubes_at_reverse 	 Freezer Icemaker Cubed Ice
Freezer Icemaker Cubed Ice 	 produces_12_cubes_at 	 a time
sentence_list_nktvuf 	 talks_about 	 Feeler Arm Power Switch
sentence_list_jrv7x9 	 talks_about 	 To turn the automatic icemaker On/Off, press the power switch on the automatic icemaker to the ON ( | ) or OFF ( O ) position.
To turn the automatic icemaker On/Off, press the power switch on the automatic icemaker to the ON ( | ) or OFF ( O ) position. 	 talks_about 	 the automatic icemaker On/Off
To turn the automatic icemaker On/Off, press the power switch on the automatic icemaker to the ON ( | ) or OFF ( O ) position. 	 talks_about 	 press the power switch on the automatic icemaker to the ON | or OFF O position
the automatic icemaker On/Off 	 should_be_turned_by 	 press the power switch on the automatic icemaker to the ON | or OFF O position
sentence_list_ksbexl 	 talks_about 	 Keeping the power turned on to the icemaker before the water line is connected can damage the icemaker.
sentence_list_ksbexl 	 talks_about 	 The the icemaker water valve buzzes as the icemaker fills with water.
sentence_list_ksbexl 	 talks_about 	 If the the icemaker power button is in the ON position, the icemaker power button will buzz even if the icemaker power button has not yet been hooked up to water.
sentence_list_ksbexl 	 talks_about 	 To stop buzz, press the icemaker power button to turn the icemaker power button off.
To stop buzz, press the icemaker power button to turn the icemaker power button off. 	 talks_about 	 buzz
To stop buzz, press the icemaker power button to turn the icemaker power button off. 	 talks_about 	 press the icemaker power button to turn the icemaker power button off
buzz 	 should_be_stopped_by 	 press the icemaker power button to turn the icemaker power button off
sentence_list_ksbexl 	 talks_about 	 You will hear the sound of ice dropping into the bin and water running in the pipes as the icemaker refills.
Keeping the power turned on to the icemaker before the water line is connected can damage the icemaker. 	 talks_about 	 the water line is connected
Keeping the power turned on to the icemaker before the water line is connected can damage the icemaker. 	 talks_about 	 Keeping the power turned on to the icemaker can damage the icemaker
Keeping the power turned on to the icemaker can damage the icemaker 	 succeded_by 	 the water line is connected
the water line is connected 	 preceded_by 	 Keeping the power turned on to the icemaker can damage the icemaker
The the icemaker water valve buzzes as the icemaker fills with water. 	 talks_about 	 as the icemaker fills with water
The the icemaker water valve buzzes as the icemaker fills with water. 	 talks_about 	 The the icemaker water valve buzzes
If the the icemaker power button is in the ON position, the icemaker power button will buzz even if the icemaker power button has not yet been hooked up to water. 	 talks_about 	 the the icemaker power button is in the ON position
If the the icemaker power button is in the ON position, the icemaker power button will buzz even if the icemaker power button has not yet been hooked up to water. 	 talks_about 	 the icemaker power button will buzz even if the icemaker power button has not yet been hooked up to water
the icemaker power button will buzz even if the icemaker power button has not yet been hooked up to water 	 Condition 	 the the icemaker power button is in the ON position
the the icemaker power button is in the ON position 	 Follows 	 the icemaker power button will buzz even if the icemaker power button has not yet been hooked up to water
You will hear the sound of ice dropping into the bin and water running in the pipes as the icemaker refills. 	 talks_about 	 as the icemaker refills
You will hear the sound of ice dropping into the bin and water running in the pipes as the icemaker refills. 	 talks_about 	 You will hear the sound of ice dropping into the bin and water running in the pipes
the icemaker power button will buzz even if the icemaker power button has not yet been hooked up to water 	 talks_about 	 even if the icemaker power button has not yet been hooked up to water
the icemaker power button will buzz even if the icemaker power button has not yet been hooked up to water 	 talks_about 	 the icemaker power button will buzz
Keeping the power turned on to the icemaker can damage the icemaker 	 talks_about 	 Keeping the power
Keeping the power turned on to the icemaker can damage the icemaker 	 talks_about 	 the icemaker
Keeping the power 	 turned_on_to 	 the icemaker
the icemaker 	 turned_on_to_reverse 	 Keeping the power
as the icemaker fills with water 	 talks_about 	 water
as the icemaker fills with water 	 talks_about 	 the icemaker
water 	 fills_with_reverse 	 the icemaker
the icemaker 	 fills_with 	 water
the the icemaker power button is in the ON position 	 talks_about 	 the the icemaker power button
the the icemaker power button is in the ON position 	 talks_about 	 the ON position
the the icemaker power button 	 is_in 	 the ON position
the ON position 	 is_in_reverse 	 the the icemaker power button
You will hear the sound of ice dropping into the bin and water running in the pipes 	 talks_about 	 the sound of ice
You will hear the sound of ice dropping into the bin and water running in the pipes 	 talks_about 	 the pipes
You will hear the sound of ice dropping into the bin and water running in the pipes 	 talks_about 	 the sound of ice dropping into the water
You will hear the sound of ice dropping into the bin and water running in the pipes 	 talks_about 	 the sound of ice dropping into the bin
You will hear the sound of ice dropping into the bin and water running in the pipes 	 talks_about 	 the water
the sound of ice 	 running_in 	 the pipes
the water 	 running_in 	 the pipes
the pipes 	 running_in_reverse 	 the water
the pipes 	 running_in_reverse 	 the sound of ice
sentence_list_axdiuk 	 talks_about 	 Set the icemaker power button to OFF and shut off the water supply to the refrigerator.
sentence_list_axdiuk 	 talks_about 	 If the ambient temperature will drop below freezing, have a qualified technician drain the water supply system to prevent serious property damage due to flooding caused by ruptured water lines or connections.
sentence_list_axdiuk 	 talks_about 	 The ice bin should be emptied any time the icemaker power button is turned to the OFF position.
If the ambient temperature will drop below freezing, have a qualified technician drain the water supply system to prevent serious property damage due to flooding caused by ruptured water lines or connections. 	 talks_about 	 the ambient temperature will drop below freezing
If the ambient temperature will drop below freezing, have a qualified technician drain the water supply system to prevent serious property damage due to flooding caused by ruptured water lines or connections. 	 talks_about 	 have a qualified technician drain the water supply system to prevent serious property damage due to flooding caused by ruptured water lines or connections
have a qualified technician drain the water supply system to prevent serious property damage due to flooding caused by ruptured water lines or connections 	 Condition 	 the ambient temperature will drop below freezing
the ambient temperature will drop below freezing 	 Follows 	 have a qualified technician drain the water supply system to prevent serious property damage due to flooding caused by ruptured water lines or connections
The ice bin should be emptied any time the icemaker power button is turned to the OFF position. 	 talks_about 	 the icemaker power button is turned to the OFF position
The ice bin should be emptied any time the icemaker power button is turned to the OFF position. 	 talks_about 	 The ice bin should be emptied any time
the ambient temperature will drop below freezing 	 talks_about 	 freezing
the ambient temperature will drop below freezing 	 talks_about 	 the ambient temperature
freezing 	 will_drop_below_reverse 	 the ambient temperature
the ambient temperature 	 will_drop_below 	 freezing
have a qualified technician drain the water supply system to prevent serious property damage due to flooding caused by ruptured water lines or connections 	 talks_about 	 flooding
have a qualified technician drain the water supply system to prevent serious property damage due to flooding caused by ruptured water lines or connections 	 talks_about 	 ruptured water lines or connections
have a qualified technician drain the water supply system to prevent serious property damage due to flooding caused by ruptured water lines or connections 	 talks_about 	 serious property damage due to flooding
have a qualified technician drain the water supply system to prevent serious property damage due to flooding caused by ruptured water lines or connections 	 talks_about 	 the water supply system
flooding 	 caused_by 	 ruptured water lines or connections
ruptured water lines or connections 	 caused_by_reverse 	 flooding
serious property damage due to flooding 	 to_prevent_reverse 	 the water supply system
the water supply system 	 to_prevent 	 serious property damage due to flooding
the icemaker power button is turned to the OFF position 	 talks_about 	 the OFF position
the icemaker power button is turned to the OFF position 	 talks_about 	 the icemaker power button
the OFF position 	 is_turned_to_reverse 	 the icemaker power button
the icemaker power button 	 is_turned_to 	 the OFF position
The ice bin should be emptied any time 	 talks_about 	 The ice bin
The ice bin should be emptied any time 	 talks_about 	 any time
The ice bin 	 should_be_emptied 	 any time
any time 	 should_be_emptied_reverse 	 The ice bin
sentence_list_ojm6vf 	 talks_about 	 Wrap or store food in the refrigerator in airtight and moisture-proof material unless otherwise noted.
sentence_list_ojm6vf 	 talks_about 	 Wrap prevents food odor and taste transfer throughout the refrigerator.
sentence_list_ojm6vf 	 talks_about 	 date code should be checked to ensure freshness For dated products
Wrap or store food in the refrigerator in airtight and moisture-proof material unless otherwise noted. 	 talks_about 	 noted
Wrap or store food in the refrigerator in airtight and moisture-proof material unless otherwise noted. 	 talks_about 	 Wrap or store food in the refrigerator in airtight and moisture-proof material
Wrap or store food in the refrigerator in airtight and moisture-proof material 	 unless_otherwise 	 noted
Wrap or store food in the refrigerator in airtight and moisture-proof material 	 paraphrase 	 food should be stored Wrap or in the refrigerator in airtight and moisture-proof material
food should be stored Wrap or in the refrigerator in airtight and moisture-proof material 	 talks_about 	 food
food should be stored Wrap or in the refrigerator in airtight and moisture-proof material 	 talks_about 	 Wrap or in the refrigerator in airtight and moisture-proof material
food 	 should_be_stored 	 Wrap or in the refrigerator in airtight and moisture-proof material
Wrap prevents food odor and taste transfer throughout the refrigerator. 	 talks_about 	 Wrap
Wrap prevents food odor and taste transfer throughout the refrigerator. 	 talks_about 	 the refrigerator
Wrap prevents food odor and taste transfer throughout the refrigerator. 	 talks_about 	 taste transfer throughout the refrigerator
Wrap prevents food odor and taste transfer throughout the refrigerator. 	 talks_about 	 food odor
Wrap 	 prevents_food_odor_throughout 	 the refrigerator
the refrigerator 	 prevents_food_odor_throughout_reverse 	 Wrap
taste transfer throughout the refrigerator 	 prevents_reverse 	 Wrap
Wrap 	 prevents 	 taste transfer throughout the refrigerator
food odor 	 prevents_reverse 	 Wrap
Wrap 	 prevents 	 food odor
date code should be checked to ensure freshness For dated products 	 talks_about 	 date code
date code should be checked to ensure freshness For dated products 	 talks_about 	 ensure freshness For dated products
date code 	 should_be_checked_to 	 ensure freshness For dated products
ensure freshness For dated products 	 should_be_checked_to_reverse 	 date code
food should be stored Wrap or in the refrigerator in airtight and moisture-proof material 	 talks_about 	 Wrap
Wrap 	 should_be_stored_reverse 	 food
food 	 should_be_stored 	 Wrap
sentence_list_aem0jv 	 talks_about 	 Do not overfill or pack items too tightly into door bins.
sentence_list_aem0jv 	 talks_about 	 Doing so may cause damage to the bin or personal injury if items are removed with excessive force.
sentence_list_aem0jv 	 talks_about 	 Do not store glass containers in the freezer.
sentence_list_aem0jv 	 talks_about 	 Contents may expand when frozen, break the container and cause injury.
Doing so may cause damage to the bin or personal injury if items are removed with excessive force. 	 talks_about 	 items are removed with excessive force
Doing so may cause damage to the bin or personal injury if items are removed with excessive force. 	 talks_about 	 Doing so may cause damage to the bin or personal injury
Doing so may cause damage to the bin or personal injury 	 Condition 	 items are removed with excessive force
items are removed with excessive force 	 Follows 	 Doing so may cause damage to the bin or personal injury
Do not store glass containers in the freezer. 	 paraphrase 	 glass containers should not be stored in the freezer
glass containers should not be stored in the freezer 	 talks_about 	 glass containers
glass containers should not be stored in the freezer 	 talks_about 	 in the freezer
glass containers 	 should_not_be_stored 	 in the freezer
Contents may expand when frozen, break the container and cause injury. 	 talks_about 	 frozen
Contents may expand when frozen, break the container and cause injury. 	 talks_about 	 Contents may expand, break the container and cause injury
Contents may expand , break the container and cause injury 	 Synchronous 	 frozen
frozen 	 Synchronous 	 Contents may expand , break the container and cause injury
glass containers should not be stored in the freezer 	 talks_about 	 the freezer
the freezer 	 should_not_be_stored_in_reverse 	 glass containers
glass containers 	 should_not_be_stored_in 	 the freezer
items are removed with excessive force 	 talks_about 	 items
items are removed with excessive force 	 talks_about 	 excessive force
items 	 are_removed_with 	 excessive force
excessive force 	 are_removed_with_reverse 	 items
Doing so may cause damage to the bin or personal injury 	 talks_about 	 damage to the bin or personal injury
Doing so may cause damage to the bin or personal injury 	 talks_about 	 Doing so
damage to the bin or personal injury 	 may_cause_reverse 	 Doing so
Doing so 	 may_cause 	 damage to the bin or personal injury
sentence_list_7mprun 	 talks_about 	 Keep opened butter in covered dish or closed compartment.
sentence_list_7mprun 	 talks_about 	 When storing an extra supply, wrap in freezer packaging and freeze.
Keep opened butter in covered dish or closed compartment. 	 paraphrase 	 butter should be kept opened in covered dish or closed compartment
butter should be kept opened in covered dish or closed compartment 	 talks_about 	 butter
butter should be kept opened in covered dish or closed compartment 	 talks_about 	 opened in covered dish or closed compartment
butter 	 should_be_kept 	 opened in covered dish or closed compartment
When storing an extra supply, wrap in freezer packaging and freeze. 	 talks_about 	 storing an extra supply
When storing an extra supply, wrap in freezer packaging and freeze. 	 talks_about 	 wrap in freezer packaging and freeze
wrap in freezer packaging and freeze 	 Synchronous 	 storing an extra supply
storing an extra supply 	 Synchronous 	 wrap in freezer packaging and freeze
butter should be kept opened in covered dish or closed compartment 	 talks_about 	 covered dish or closed compartment
butter 	 opened_in 	 covered dish or closed compartment
covered dish or closed compartment 	 opened_in_reverse 	 butter
sentence_list_f8xpb5 	 talks_about 	 Store in original wrapping until used.
sentence_list_f8xpb5 	 talks_about 	 Once opened, rewrap tightly in plastic wrap or aluminum foil.
Once opened, rewrap tightly in plastic wrap or aluminum foil. 	 talks_about 	 opened
Once opened, rewrap tightly in plastic wrap or aluminum foil. 	 talks_about 	 rewrap tightly in plastic wrap or aluminum foil
rewrap tightly in plastic wrap or aluminum foil 	 preceded_by 	 opened
opened 	 succeded_by 	 rewrap tightly in plastic wrap or aluminum foil
sentence_list_r8vx7h 	 talks_about 	 Wipe milk cartons.
sentence_list_r8vx7h 	 talks_about 	 For coldest milk, place containers on an interior shelf.
Wipe milk cartons. 	 paraphrase 	 milk cartons should be wiped
sentence_list_7bz2sc 	 talks_about 	 Store in original carton on interior shelf, not on door shelf.
sentence_list_skrpme 	 talks_about 	 Do not wash or hull fruit until fruit is ready to be used.
sentence_list_skrpme 	 talks_about 	 Sort and keep fruit in original container in a crisper, or store in completely closed paper bag on refrigerator shelf.
Do not wash or hull fruit until fruit is ready to be used. 	 talks_about 	 fruit is ready to be used
Do not wash or hull fruit until fruit is ready to be used. 	 talks_about 	 Do not wash or hull fruit
Do not wash or hull fruit 	 succeded_by 	 fruit is ready to be used
fruit is ready to be used 	 preceded_by 	 Do not wash or hull fruit
fruit is ready to be used 	 talks_about 	 ready to be used
fruit is ready to be used 	 talks_about 	 fruit
ready to be used 	 is_reverse 	 fruit
fruit 	 is 	 ready to be used
sentence_list_2putjk 	 talks_about 	 Remove store wrapping, trim or tear off bruised and discolored areas, wash in cold water, and drain.
sentence_list_2putjk 	 talks_about 	 Place in plastic bag or plastic container and store in crisper.
sentence_list_kmxic1 	 talks_about 	 Place in plastic bags or plastic container and store in crisper.
sentence_list_6k2rjg 	 talks_about 	 Freeze fresh fish and shellfish if fresh fish and shellfish are not being eaten the same day purchased.
sentence_list_6k2rjg 	 talks_about 	 Eating fresh fish and shellfish the same day purchased is recommended.
Freeze fresh fish and shellfish if fresh fish and shellfish are not being eaten the same day purchased. 	 talks_about 	 fresh fish and shellfish are not being eaten the same day purchased
Freeze fresh fish and shellfish if fresh fish and shellfish are not being eaten the same day purchased. 	 talks_about 	 Freeze fresh fish and shellfish
Freeze fresh fish and shellfish 	 Condition 	 fresh fish and shellfish are not being eaten the same day purchased
fresh fish and shellfish are not being eaten the same day purchased 	 Follows 	 Freeze fresh fish and shellfish
Freeze fresh fish and shellfish 	 paraphrase 	 fresh fish and shellfish should be frozen
Eating fresh fish and shellfish the same day purchased is recommended. 	 talks_about 	 the same day purchased
Eating fresh fish and shellfish the same day purchased is recommended. 	 talks_about 	 shellfish
the same day purchased 	 is_recommended 	 shellfish
shellfish 	 is_recommended_reverse 	 the same day purchased
fresh fish and shellfish are not being eaten the same day purchased 	 talks_about 	 the same day
fresh fish and shellfish are not being eaten the same day purchased 	 talks_about 	 shellfish
fresh fish and shellfish are not being eaten the same day purchased 	 talks_about 	 fresh fish
the same day 	 are_not_being_eaten_reverse 	 shellfish
fresh fish 	 are_not_being_eaten 	 the same day
the same day 	 are_not_being_eaten_reverse 	 fresh fish
shellfish 	 are_not_being_eaten 	 the same day
sentence_list_tywj79 	 talks_about 	 Cover leftovers with plastic wrap or aluminum foil, or store in plastic containers with tight lids.
sentence_list_im5s7x 	 talks_about 	 Check a freezer guide or a reliable cookbook for further information about preparing food for freezing or food storage times.
sentence_list_im5s7x 	 talks_about 	 Allow hot foods to cool at room temperature for 30 minutes, and then package and freeze.
sentence_list_im5s7x 	 talks_about 	 Cooling hot foods before freezing saves energy.
sentence_list_im5s7x 	 talks_about 	 If you are leaving home for a short period, like a short vacation, the refrigerator should be left on.
sentence_list_im5s7x 	 talks_about 	 Refrigerated foods that are able to be frozen will stay preserved longer if stored in the freezer.
sentence_list_im5s7x 	 talks_about 	 If you are leaving the refrigerator turned off for an extended period, remove all food and unplug the power cord.
sentence_list_im5s7x 	 talks_about 	 Clean the interior, and leave the door open to prevent fungi from growing in the refrigerator.
sentence_list_im5s7x 	 talks_about 	 Do not store food with high moisture content towards the top of the refrigerator.
sentence_list_im5s7x 	 talks_about 	 food with high moisture content could come into direct contact with the cold air and freeze.
sentence_list_im5s7x 	 talks_about 	 Wash food before storing food in the refrigerator.
sentence_list_im5s7x 	 talks_about 	 Vegetables should be washed, and food packaging should be wiped down to prevent adjacent foods from being contaminated.
sentence_list_im5s7x 	 talks_about 	 If the refrigerator is kept in a hot and humid place, frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form.
sentence_list_im5s7x 	 talks_about 	 Wipe off condensation with a clean cloth or a paper towel.
sentence_list_im5s7x 	 talks_about 	 If doors are opened or closed too often, warm air may penetrate the refrigerator and raise the refrigerator temperature.
sentence_list_im5s7x 	 talks_about 	 This can increase the running costs of the refrigerator.
Check a freezer guide or a reliable cookbook for further information about preparing food for freezing or food storage times. 	 paraphrase 	 a freezer guide or a reliable cookbook should be checked for further information about preparing food for freezing or food storage times
a freezer guide or a reliable cookbook should be checked for further information about preparing food for freezing or food storage times 	 talks_about 	 a freezer guide or a reliable cookbook
a freezer guide or a reliable cookbook should be checked for further information about preparing food for freezing or food storage times 	 talks_about 	 for further information about preparing food for freezing or food storage times
a freezer guide or a reliable cookbook 	 should_be_checked 	 for further information about preparing food for freezing or food storage times
Cooling hot foods before freezing saves energy. 	 talks_about 	 freezing
Cooling hot foods before freezing saves energy. 	 talks_about 	 Cooling hot foods saves energy
Cooling hot foods saves energy 	 succeded_by 	 freezing
freezing 	 preceded_by 	 Cooling hot foods saves energy
If you are leaving home for a short period, like a short vacation, the refrigerator should be left on. 	 talks_about 	 you are leaving home for a short period, like a short vacation, the refrigerator should be left on
Refrigerated foods that are able to be frozen will stay preserved longer if stored in the freezer. 	 talks_about 	 are able to be frozen
Refrigerated foods that are able to be frozen will stay preserved longer if stored in the freezer. 	 talks_about 	 Refrigerated foods will stay preserved longer if stored in the freezer
Refrigerated foods will stay preserved longer if stored in the freezer 	 that 	 are able to be frozen
If you are leaving the refrigerator turned off for an extended period, remove all food and unplug the power cord. 	 talks_about 	 you are leaving the refrigerator turned off for an extended period
If you are leaving the refrigerator turned off for an extended period, remove all food and unplug the power cord. 	 talks_about 	 remove all food and unplug the power cord
remove all food and unplug the power cord 	 Condition 	 you are leaving the refrigerator turned off for an extended period
you are leaving the refrigerator turned off for an extended period 	 Follows 	 remove all food and unplug the power cord
Do not store food with high moisture content towards the top of the refrigerator. 	 paraphrase 	 food with high moisture content should not be stored towards the top of the refrigerator
food with high moisture content should not be stored towards the top of the refrigerator 	 talks_about 	 food with high moisture content
food with high moisture content should not be stored towards the top of the refrigerator 	 talks_about 	 towards the top of the refrigerator
food with high moisture content 	 should_not_be_stored 	 towards the top of the refrigerator
Wash food before storing food in the refrigerator. 	 paraphrase 	 food should be washed before storing food in the refrigerator
food should be washed before storing food in the refrigerator 	 talks_about 	 food
food should be washed before storing food in the refrigerator 	 talks_about 	 before storing food in the refrigerator
food 	 should_be_washed 	 before storing food in the refrigerator
Vegetables should be washed, and food packaging should be wiped down to prevent adjacent foods from being contaminated. 	 talks_about 	 food packaging should be wiped down to prevent adjacent foods from being contaminated
Vegetables should be washed, and food packaging should be wiped down to prevent adjacent foods from being contaminated. 	 talks_about 	 Vegetables should be washed
Vegetables should be washed 	 Conjunction 	 food packaging should be wiped down to prevent adjacent foods from being contaminated
food packaging should be wiped down to prevent adjacent foods from being contaminated 	 Conjunction 	 Vegetables should be washed
If the refrigerator is kept in a hot and humid place, frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form. 	 talks_about 	 the refrigerator is kept in a hot and humid place
If the refrigerator is kept in a hot and humid place, frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form. 	 talks_about 	 frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form
frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form 	 Condition 	 the refrigerator is kept in a hot and humid place
the refrigerator is kept in a hot and humid place 	 Follows 	 frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form
Wipe off condensation with a clean cloth or a paper towel. 	 paraphrase 	 condensation should be wiped off with a clean cloth or a paper towel
condensation should be wiped off with a clean cloth or a paper towel 	 talks_about 	 condensation
condensation should be wiped off with a clean cloth or a paper towel 	 talks_about 	 off with a clean cloth or a paper towel
condensation 	 should_be_wiped 	 off with a clean cloth or a paper towel
If doors are opened or closed too often, warm air may penetrate the refrigerator and raise the refrigerator temperature. 	 talks_about 	 doors are opened or closed too often
If doors are opened or closed too often, warm air may penetrate the refrigerator and raise the refrigerator temperature. 	 talks_about 	 warm air may penetrate the refrigerator and raise the refrigerator temperature
warm air may penetrate the refrigerator and raise the refrigerator temperature 	 Condition 	 doors are opened or closed too often
doors are opened or closed too often 	 Follows 	 warm air may penetrate the refrigerator and raise the refrigerator temperature
you are leaving home for a short period , like a short vacation , the refrigerator should be left on 	 talks_about 	 the refrigerator should be left on
you are leaving home for a short period , like a short vacation , the refrigerator should be left on 	 talks_about 	 you are leaving home for a short period, like a short vacation
a freezer guide or a reliable cookbook should be checked for further information about preparing food for freezing or food storage times 	 talks_about 	 further information about preparing food for freezing or food
a freezer guide or a reliable cookbook should be checked for further information about preparing food for freezing or food storage times 	 talks_about 	 storage times
a freezer guide or a reliable cookbook 	 should_be_checked_for 	 further information about preparing food for freezing or food
further information about preparing food for freezing or food 	 should_be_checked_for_reverse 	 a freezer guide or a reliable cookbook
a freezer guide or a reliable cookbook 	 should_be_checked 	 storage times
storage times 	 should_be_checked_reverse 	 a freezer guide or a reliable cookbook
food with high moisture content should not be stored towards the top of the refrigerator 	 talks_about 	 the top of the refrigerator
food with high moisture content 	 should_not_be_stored_towards 	 the top of the refrigerator
the top of the refrigerator 	 should_not_be_stored_towards_reverse 	 food with high moisture content
food with high moisture content could come into direct contact with the cold air and freeze. 	 talks_about 	 direct contact with the cold freeze
food with high moisture content could come into direct contact with the cold air and freeze. 	 talks_about 	 food with high moisture content
food with high moisture content could come into direct contact with the cold air and freeze. 	 talks_about 	 direct contact with the cold air
direct contact with the cold freeze 	 could_come_into_reverse 	 food with high moisture content
food with high moisture content 	 could_come_into 	 direct contact with the cold air
direct contact with the cold air 	 could_come_into_reverse 	 food with high moisture content
food with high moisture content 	 could_come_into 	 direct contact with the cold freeze
food should be washed before storing food in the refrigerator 	 talks_about 	 storing food in the refrigerator
food should be washed before storing food in the refrigerator 	 talks_about 	 the refrigerator
storing food in the refrigerator 	 should_be_washed_before_reverse 	 food
food 	 before_storing_reverse 	 food
the refrigerator 	 before_storing_food_in_reverse 	 food
food 	 before_storing 	 food
food 	 should_be_washed_before 	 storing food in the refrigerator
food 	 before_storing_food_in 	 the refrigerator
condensation should be wiped off with a clean cloth or a paper towel 	 talks_about 	 a clean cloth or a paper towel
condensation 	 should_be_wiped_off_with 	 a clean cloth or a paper towel
a clean cloth or a paper towel 	 should_be_wiped_off_with_reverse 	 condensation
This can increase the running costs of the refrigerator. 	 talks_about 	 the running costs of the refrigerator
Cooling hot foods saves energy 	 talks_about 	 Cooling hot foods
Cooling hot foods saves energy 	 talks_about 	 energy
Cooling hot foods 	 saves 	 energy
energy 	 saves_reverse 	 Cooling hot foods
Refrigerated foods will stay preserved longer if stored in the freezer 	 talks_about 	 longer
Refrigerated foods will stay preserved longer if stored in the freezer 	 talks_about 	 Refrigerated foods
Refrigerated foods will stay preserved longer if stored in the freezer 	 talks_about 	 preserved
Refrigerated foods will stay preserved longer if stored in the freezer 	 talks_about 	 stored in the freezer
longer 	 will_stay_reverse 	 Refrigerated foods
preserved 	 will_stay_reverse 	 Refrigerated foods
Refrigerated foods 	 will_stay_if 	 stored in the freezer
Refrigerated foods 	 will_stay 	 longer
Refrigerated foods 	 will_stay 	 preserved
Refrigerated foods 	 preserved_if 	 stored in the freezer
stored in the freezer 	 preserved_if_reverse 	 Refrigerated foods
stored in the freezer 	 will_stay_if_reverse 	 Refrigerated foods
you are leaving the refrigerator turned off for an extended period 	 talks_about 	 the refrigerator
you are leaving the refrigerator turned off for an extended period 	 talks_about 	 an extended period
you are leaving the refrigerator turned off for an extended period 	 talks_about 	 turned off for an extended period
the refrigerator 	 turned_off_for 	 an extended period
an extended period 	 turned_off_for_reverse 	 the refrigerator
food packaging should be wiped down to prevent adjacent foods from being contaminated 	 talks_about 	 food packaging
food packaging should be wiped down to prevent adjacent foods from being contaminated 	 talks_about 	 prevent adjacent foods from being contaminated
food packaging 	 should_be_wiped_down_to 	 prevent adjacent foods from being contaminated
prevent adjacent foods from being contaminated 	 should_be_wiped_down_to_reverse 	 food packaging
the refrigerator is kept in a hot and humid place 	 talks_about 	 the refrigerator
the refrigerator is kept in a hot and humid place 	 talks_about 	 a humid place
the refrigerator is kept in a hot and humid place 	 talks_about 	 a hot place
the refrigerator 	 is_kept_in 	 a humid place
a humid place 	 is_kept_in_reverse 	 the refrigerator
a hot place 	 is_kept_in_reverse 	 the refrigerator
the refrigerator 	 is_kept_in 	 a hot place
frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form 	 talks_about 	 frequent opening of the door or storing a lot of vegetables in the refrigerator
frequent opening of the door or storing a lot of vegetables in the refrigerator may cause condensation to form 	 talks_about 	 condensation to form
frequent opening of the door or storing a lot of vegetables in the refrigerator 	 may_cause 	 condensation to form
condensation to form 	 may_cause_reverse 	 frequent opening of the door or storing a lot of vegetables in the refrigerator
doors are opened or closed too often 	 talks_about 	 doors
doors are opened or closed too often 	 talks_about 	 too often
doors 	 closed 	 too often
too often 	 closed_reverse 	 doors
warm air may penetrate the refrigerator and raise the refrigerator temperature 	 talks_about 	 the refrigerator
warm air may penetrate the refrigerator and raise the refrigerator temperature 	 talks_about 	 warm air
the refrigerator 	 may_penetrate_reverse 	 warm air
warm air 	 may_penetrate 	 the refrigerator
you are leaving home for a short period, like a short vacation 	 talks_about 	 home
you are leaving home for a short period, like a short vacation 	 talks_about 	 a short period
sentence_list_rv178t 	 talks_about 	 Your freezer will not quick-freeze a large quantity of food.
sentence_list_rv178t 	 talks_about 	 Do not put more unfrozen food into Your freezer than will freeze within 24 hours ( no more than 2 to 3 pounds of food per cubic foot of freezer space ).
sentence_list_rv178t 	 talks_about 	 Leave enough space in Your freezer for air to circulate around packages.
sentence_list_rv178t 	 talks_about 	 Be careful to leave enough room at the front so the door can close tightly.
sentence_list_rv178t 	 talks_about 	 Storage times will vary according to the quality and type of food, the type of packaging or wrap used ( how airtight and moisture-proof ) and the storage temperature.
sentence_list_rv178t 	 talks_about 	 Ice crystals inside a sealed package are normal.
sentence_list_rv178t 	 talks_about 	 are simply means that moisture in the food and air inside a sealed package have condensed, creating ice crystals.
